funddwid,projectid,fundname,type,amount
39697,61405,City Capital,Loan,12413798
52790,61575,Reso A,Loan,2000000
52791,61575,City Capital,Loan,10519000
58650,61587,Reso A,Grant,1025000
58838,61587,City Capital,Loan,6893663
51826,61608,City Capital,Loan,34560000
50434,61609,City Capital,Loan,3424755
50719,61610,City Capital,Loan,5625000
50003,61611,City Capital,Loan,20889423
54789,61612,Reso A,Loan,1500000
54794,61612,City Capital,Loan,25610000
51828,61616,City Capital,Loan,564420
52207,61625,City Capital,Loan,675851
68585,61629,City Capital,Loan,8193569
52220,61639,City Capital,Loan,1063398
57349,61641,City Capital,Loan,6000000
49878,61678,City Capital,Loan,22307850
52861,61678,Reso A,Loan,1000000
50668,61701,Reso A,Grant,400000
51672,61740,Reso A,Loan,1200000
51673,61740,HOME,Loan,1000000
51674,61740,City Capital,Loan,9241504
51841,61765,City Capital,Loan,15761165
52937,61765,Reso A,Loan,2250000
56314,61799,City Capital,Loan,40657500
56326,61799,Reso A,Loan,1800000
56532,61799,City Capital,Grant,4800000
52864,61837,City Capital,Loan,14083367
52866,61840,City Capital,Loan,10300604
51349,61841,City Capital,Grant,11925000
50407,61842,City Capital,Loan,12091548
51534,61847,City Capital,Loan,3714590
51288,61848,Reso A,Loan,600000
52033,61849,Reso A,Loan,200000
54617,61875,Reso A,Loan,6000000
57436,61875,City Capital,Loan,38110888
52035,61877,City Capital,Loan,217356
50732,61903,City Capital,Loan,1135000
58160,61931,City Capital,Loan,96120000
51679,61967,City Capital,Loan,6993889
55991,61967,Reso A,Loan,1500000
6475,62039,HOME,Loan,0
6478,62039,City Capital,Loan,0
6481,62039,Reso A,Loan,0
6487,62039,NSP 1,Loan,0
6490,62039,NSP 3,Loan,0
6493,62039,BPCA,Loan,0
6496,62039,NSP 2,Loan,0
30397,62039,421-a Fund,,443775
52869,62057,City Capital,Loan,7693366
57160,62102,Reso A,Grant,800000
57166,62102,City Capital,Loan,23400000
58009,62109,Reso A,Loan,6400000
58019,62109,City Capital,Loan,43434746
49369,62159,City Capital,Loan,40835191
52037,62163,City Capital,Loan,368459
51924,62191,City Capital,Loan,114885200
51922,62193,City Capital,Loan,49694057
51921,62194,City Capital,Loan,70011179
54096,62203,City Capital,Loan,7323190
49058,62204,City Capital,Loan,331500
52054,62208,City Capital,Loan,718198
56342,62209,City Capital,Loan,3212000
56338,62210,City Capital,Loan,3361582
51587,62211,Reso A,Loan,1000000
51588,62211,City Capital,Loan,14500000
51206,62227,City Capital,Loan,14909974
65655,62229,City Capital,Loan,32708879
53726,62241,City Capital,Loan,6837318
51736,62289,City Capital,Loan,8875000
59610,62299,City Capital,Loan,28140000
53669,62962,City Capital,Loan,26200000
53670,62962,Reso A,Loan,1500000
49898,63014,City Capital,Loan,2914000
51758,63026,Reso A,Loan,7000000
64977,63026,HOME,Loan,11162500
51738,63036,Reso A,Loan,500000
55900,63036,City Capital,Loan,9500000
55958,63122,HOME,Loan,11590000
51932,63151,City Capital,Loan,18972287
59174,63151,City Capital,Loan,2700000
59182,63151,Reso A,Loan,1300000
51931,63154,City Capital,Loan,20292199
51929,63172,City Capital,Loan,11760216
58202,63209,City Capital,Loan,33300000
